surveyid;qidx;question;finished;audio-counter;audio-file;reliable;kompetent;credible;sympatic;dialect;pleasant;natural;liked;aigen;easyunterrstand;uncomplicated;informed;attention;reliable-counter;kompetent-counter;credible-counter;sympatic-counter;dialect-counter;pleasant-counter;natural-counter;liked-counter;aigen-counter;easyunterrstand-counter;uncomplicated-counter;informed-counter;attention-counter;surveyid;created;questions;complete;age;dv;dr;email;Male;Female;Vorarlberg;Swiss;StandardGerman;age_r;participant_region;participant_country;speaker_region;reliable_n;kompetent_N;credible_n;sympatic_n;dialect_n;pleasant_n;natural_n;liked_n;aigen_n;easyunterrstand_n;uncomplicated_n;informed_n;attention_n
0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;1;N01;2026-02-26 19:38:26;2;n01_vorarlbb_m_v2.mp3;reliable-4;kompetent-4;credible-6;sympatic-4;dialect-6;pleasant-4;natural-4;liked-2;aigen-4;easyunterrstand-6;uncomplicated-6;informed-4;attention-6;0;0;1;0;1;0;0;1;0;1;1;0;1;0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;2026-02-26 19:36:26;"[""N01"",""N04"",""Q01""]";1;age-3;dv-7;vbg;;1;;1;;;41 - 60;Vorarlberg;AT;Vorarlberg;3;3;5;3;5;3;3;1;3;5;5;3;5
0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;2;N04;2026-02-26 19:39:55;1;n04_kartoffel_m.mp3;reliable-4;kompetent-4;credible-4;sympatic-1;dialect-1;pleasant-1;natural-1;liked-1;aigen-7;easyunterrstand-4;uncomplicated-4;informed-4;attention-4;0;0;0;1;1;1;1;1;1;0;0;0;0;0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;2026-02-26 19:36:26;"[""N01"",""N04"",""Q01""]";1;age-3;dv-7;vbg;;1;;;;1;41 - 60;Vorarlberg;AT;Hochdeutsch;3;3;3;0;0;0;0;0;6;3;3;3;3
0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;3;Q01;2026-02-26 19:41:06;1;q01_sttall_f.mp3;reliable-4;kompetent-4;credible-4;sympatic-5;dialect-2;pleasant-4;natural-4;liked-4;aigen-4;easyunterrstand-6;uncomplicated-6;informed-4;attention-6;0;0;0;1;2;0;0;0;0;1;1;0;1;0SyG7zsB5H6ZepJfeWu5o4tI8VXybKMD5qe5C0Ix;2026-02-26 19:36:26;"[""N01"",""N04"",""Q01""]";1;age-3;dv-7;vbg;;;1;;1;;41 - 60;Vorarlberg;AT;Schweiz;3;3;3;4;1;3;3;3;3;5;5;3;5
2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;1;Q01;2026-02-18 17:14:59;1;q01_sttall_f.mp3;reliable-2;kompetent-3;credible-2;sympatic-5;dialect-3;pleasant-2;natural-3;liked-2;aigen-4;easyunterrstand-2;uncomplicated-2;informed-5;attention-3;1;1;1;1;2;1;1;1;0;1;1;2;1;2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;2026-02-18 17:12:10;"[""Q01"",""N01"",""N04""]";1;age-3;dv-6;li;;;1;;1;;41 - 60;Liechtenstein;LI;Schweiz;1;2;1;4;2;1;2;1;3;1;1;4;2
2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;2;N01;2026-02-18 17:16:32;1;n01_kartoffel_m.mp3;reliable-6;kompetent-7;credible-7;sympatic-5;dialect-1;pleasant-5;natural-4;liked-3;aigen-4;easyunterrstand-5;uncomplicated-6;informed-6;attention-5;3;1;1;1;1;1;2;1;0;1;1;1;2;2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;2026-02-18 17:12:10;"[""Q01"",""N01"",""N04""]";1;age-3;dv-6;li;;1;;;;1;41 - 60;Liechtenstein;LI;Hochdeutsch;5;6;6;4;0;4;3;2;3;4;5;5;4
2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;3;N04;2026-02-18 17:17:51;1;n04_vorarlbb_m_v2.mp3;reliable-5;kompetent-5;credible-5;sympatic-6;dialect-6;pleasant-6;natural-3;liked-3;aigen-7;easyunterrstand-6;uncomplicated-6;informed-6;attention-2;1;1;1;1;2;1;1;1;1;1;1;1;1;2B0gz25_yi59m229JHTrmyz3Wq6PKJIdpvyUrKvD;2026-02-18 17:12:10;"[""Q01"",""N01"",""N04""]";1;age-3;dv-6;li;;1;;1;;;41 - 60;Liechtenstein;LI;Vorarlberg;4;4;4;5;5;5;2;2;6;5;5;5;1
2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;1;N01;2026-02-18 13:06:50;1;n01_sttall_m.mp3;reliable-2;kompetent-1;credible-1;sympatic-1;dialect-1;pleasant-7;natural-7;liked-6;aigen-2;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;2026-02-18 13:04:29;"[""N01"",""N04"",""Q01""]";1;age-4;dv-7;null;;1;;;1;;61 - 80;Ich m�chte nicht antworten.;null;Schweiz;1;0;0;0;0;6;6;5;1;6;6;6;6
2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;2;N04;2026-02-18 13:08:45;1;n04_kartoffel_m.mp3;reliable-5;kompetent-6;credible-5;sympatic-3;dialect-1;pleasant-3;natural-3;liked-2;aigen-3;easyunterrstand-7;uncomplicated-7;informed-6;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;2026-02-18 13:04:29;"[""N01"",""N04"",""Q01""]";1;age-4;dv-7;null;;1;;;;1;61 - 80;Ich m�chte nicht antworten.;null;Hochdeutsch;4;5;4;2;0;2;2;1;2;6;6;5;6
2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;3;Q01;2026-02-18 13:10:34;1;q01_sttall_f.mp3;reliable-5;kompetent-3;credible-5;sympatic-5;dialect-7;pleasant-5;natural-6;liked-5;aigen-3;easyunterrstand-7;uncomplicated-7;informed-6;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;2UUkvrkgYNoMplx5FkigBt-osqDRR8yXb1J1ofNu;2026-02-18 13:04:29;"[""N01"",""N04"",""Q01""]";1;age-4;dv-7;null;;;1;;1;;61 - 80;Ich m�chte nicht antworten.;null;Schweiz;4;2;4;4;6;4;5;4;2;6;6;5;6
4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;1;N01;2026-02-19 12:53:33;1;n01_vorarlbb_f_v2.mp3;reliable-6;kompetent-5;credible-6;sympatic-7;dialect-6;pleasant-7;natural-7;liked-7;aigen-2;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;2;1;1;1;1;1;1;1;1;4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;2026-02-19 12:51:54;"[""N01"",""Q01"",""N04""]";1;age-4;dv-6;bw;;;1;1;;;61 - 80;Baden-W�rttemberg;DE;Vorarlberg;5;4;5;6;5;6;6;6;1;6;6;6;6
